route_type,route_short_name,route_long_name,agency_id,route_id,route_desc,route_color,route_text_color
3,AB097,Megenegna Terminal ↔ Legedadi Mission,AA,10400029,,1779c2,ffffff
3,AB101,Megenagna Terminal ↔ Aba Kiros Roundabout,AA,10400258,,1779c2,ffffff
3,AB049,Megenegna Terminal ↔ Ayat Chefe Condominium,AA,10400405,,1779c2,ffffff
3,AB083,Ayat Chefe Condominium ↔ 6 Kilo,AA,10406491,,1779c2,ffffff
3,AB010,Kotebe Teachers College ↔ Piassa Arada,AA,10407732,,1779c2,ffffff
3,AB009,Piassa Arada ↔ Brass Clinic (Bole),AA,10410198,,1779c2,ffffff
3,AB061,Legehar (Old Train Station) ↔ Ayat Chefe Condominium,AA,10441511,,1779c2,ffffff
3,SH027,Shero Meda ↔ Bole Millenium,AA,10458768,,1779c2,ffffff
3,SH028,Shero Meda ↔ Abo Junction,AA,10460046,,1779c2,ffffff
3,SH016,Piassa Arada ↔ Abo Junction,AA,10460168,,1779c2,ffffff
3,SH004,Yeka Abado ↔ Megenagna,AA,10460407,,1779c2,ffffff
3,SH010,Autobis Tera (2) ↔ Alem Bank,AA,10460602,,1779c2,ffffff
3,A10,Mexico ↔ Haile Garment,AA,10460963,,1779c2,ffffff
3,SH040,Kara Kore ↔ Autobis Tera (1),AA,10461811,,1779c2,ffffff
3,D26,Yerer Goro ↔ Megenagna,AA,10465903,,1779c2,ffffff
3,A24,Mexico ↔ Megenagna,AA,10466290,,1779c2,ffffff
3,C15,Piassa Arada ↔ Mebrat Condominium,AA,10466725,,1779c2,ffffff
3,C14,Sansusi ↔ Piassa Arada,AA,10468435,,1779c2,ffffff
3,A08,Gurara ↔ 4 Kilo,AA,10469388,,1779c2,ffffff
3,C31,Piassa Arada ↔ Dil Ber,AA,10478792,,1779c2,ffffff
3,B37,Shero Meda ↔ Autobis Tera (3),AA,10479678,,1779c2,ffffff
3,B19,Autobis Tera (1) ↔ Abo Junction,AA,10480005,,1779c2,ffffff
3,A09,Mexico ↔ Alem Bank,AA,10480336,,1779c2,ffffff
3,D52,Koye Feche ↔ Megenagna,AA,10521543,,1779c2,ffffff
3,D25,Summit Condominiums ↔ Megenagna Terminal,AA,10521610,,1779c2,ffffff
3,B35,Autobis Tera (2) ↔ Kela,AA,10529108,,1779c2,ffffff
3,B40,Saris Abo ↔ Ayer Tena,AA,10529704,,1779c2,ffffff
3,C51,Yeka Abado ↔ Piassa Arada,AA,10533497,,1779c2,ffffff
3,D23,Megenagna Terminal ↔ Aba Kiros Roundabout,AA,10533758,,1779c2,ffffff
3,A05,Mexico ↔ Lafto,AA,10534180,,1779c2,ffffff
3,A01,Shero Meda ↔ Mexico,AA,10534541,,1779c2,ffffff
3,C17,Piassa Arada ↔ Marathon Motor (Megenagna),AA,10534848,,1779c2,ffffff
3,B22,Autobis Tera ↔ Asko,AA,10535103,,1779c2,ffffff
3,A04,Sefera ↔ Mexico,AA,10541125,,1779c2,ffffff
3,A18,Piassa Arada ↔ Jemmo 2,AA,10541371,,1779c2,ffffff
3,A02,Mexico ↔ Jemo 1,AA,10542001,,1779c2,ffffff
3,B35B,Merkato ↔ Ashewa Meda,AA,10542096,,1779c2,ffffff
3,C50,kera ↔ Addisu Gebeya,AA,10542241,,1779c2,ffffff
3,AB032,Hanna Mariam ↔ Legehar (Old Train Station),AA,10547202,,1779c2,ffffff
3,AB018,Yeshi Debele ↔ Autobis Tera,AA,10550063,,1779c2,ffffff
3,AB087,Winget ↔ Ayer Tena (Terminal),AA,10550163,,1779c2,ffffff
3,AB110,Tulu Dimtu ↔ 6 Kilo,AA,10550650,,1779c2,ffffff
3,AB047,Shegole (Mender 7) ↔ Autobis Tera,AA,10551230,,1779c2,ffffff
3,AB028,Sansusi ↔ Autobis Tera,AA,10551231,,1779c2,ffffff
3,AB041,Eyesus ↔ Autobis Tera,AA,10551605,,1779c2,ffffff
3,AB003,Ayer Tena ↔ Piassa Arada,AA,15625520,,1779c2,ffffff
3,AB034,German Square ↔ Autobis Tera,AA,15656246,,1779c2,ffffff
3,AB004,Kality Meneharia ↔ Autobis Tera,AA,16067901,,1779c2,ffffff
3,AB006,kera ↔ Addisu Gebeya,AA,16068007,,1779c2,ffffff
3,AB027,Mexico ↔ Gelan Condominium,AA,16068572,,1779c2,ffffff
3,AB033,Kotebe Gebriel ↔ Arat Kilo,AA,16068674,,1779c2,ffffff
3,AB036,Legehar (Old Train Station) ↔ Kara Kore,AA,16068754,,1779c2,ffffff
3,AB037,Yeshi Debele ↔ St. George Church,AA,16068915,,1779c2,ffffff
3,AB055,Legehar (Old Train Station) ↔ Gurara,AA,16069113,,1779c2,ffffff
3,AB056,Saris Abo ↔ Shero Meda,AA,16069192,,1779c2,ffffff
3,AB058,Legehar (Old Train Station) ↔ Alem Bank,AA,16069231,,1779c2,ffffff
3,AB064,Megenagna ↔ Gurara,AA,16069472,,1779c2,ffffff
3,AB065,Autobis Tera ↔ Alem Bank,AA,16069558,,1779c2,ffffff
3,AB066,Kara Kore ↔ Autobis Tera,AA,16070513,,1779c2,ffffff
3,AB068,Menlik Hospital ↔ Torhailoch,AA,16070566,,1779c2,ffffff
3,AB070,Ayer Tena ↔ Abuare Roundabout,AA,16071249,,1779c2,ffffff
3,AB077,Kera ↔ Ayer Tena,AA,16071322,,1779c2,ffffff
3,AB029,Yerer Goro ↔ Mexico,AA,16071554,,1779c2,ffffff
3,AB090,Betel ↔ Legehar (Old Train Station),AA,16071657,,1779c2,ffffff
3,AB092,Hana Mariam ↔ Darmar,AA,16071828,,1779c2,ffffff
3,AB094,Piassa Arada ↔ Mikili Land,AA,16072018,,1779c2,ffffff
3,AB099,Alem Bank ↔ Ayer Tena,AA,16072169,,1779c2,ffffff
3,AB100,Jemmo 3 ↔ Autobis Tera,AA,16072247,,1779c2,ffffff
3,AB102,Kara ↔ Legehar (Old Train Station),AA,16072458,,1779c2,ffffff
3,AB105,Anfo Meda ↔ Legehar (Old Train Station),AA,16074160,,1779c2,ffffff
3,AB109,Saris Abo ↔ Tulu Dimtu Adebabay,AA,16074208,,1779c2,ffffff
3,AB117,Sefera ↔ Mexico,AA,16074342,,1779c2,ffffff
3,AB045,Dil Ber ↔ Legehar (Old Train Station),AA,16074676,,1779c2,ffffff
3,AB062,Legehar (Old Train Station) ↔ Sebeta,AA,16074771,,1779c2,ffffff
3,AB071,Gerji Mebrat Haile ↔ Darmar,AA,16074871,,1779c2,ffffff
3,AB111,Piassa Arada ↔ Gefersa,AA,16075030,,1779c2,ffffff
3,SH012,Sansusi ↔ Autobis Tera,AA,16086556,,1779c2,ffffff
3,SH009,Ayer Tena ↔ Autobis Tera (2),AA,16088269,,1779c2,ffffff
